Country Name,Year,Government Expenditure,US_dollars_at_current_prices_in_millions_Value,,
El Salvador,2011,"Recreation, culture and religion",51,,
El Salvador,2012,Total function,5363,,
El Salvador,2012,"Agriculture, forestry, fishing and hunting",62,,
El Salvador,2012,"Mining, manufacturing and construction",148,,
El Salvador,2012,Communication,16,,
El Salvador,2012,Fuel and energy,295,,
El Salvador,2012,Environment protection,30,,
El Salvador,2012,Health,697,,
El Salvador,2012,Education,858,,
El Salvador,2012,General public services,2474,,
El Salvador,2012,Defence,162,,
El Salvador,2012,Public order and safety,530,,
El Salvador,2012,"Recreation, culture and religion",30,,
El Salvador,2013,Total function,6056,,
El Salvador,2013,"Agriculture, forestry, fishing and hunting",46,,
El Salvador,2013,"Mining, manufacturing and construction",0,,
El Salvador,2013,Transport,74,,
El Salvador,2013,Communication,6,,
El Salvador,2013,Fuel and energy,320,,
El Salvador,2013,Environment protection,30,,
El Salvador,2013,Health,714,,
El Salvador,2013,Education,850,,
El Salvador,2013,General public services,2633,,
El Salvador,2013,Defence,163,,
El Salvador,2013,Public order and safety,554,,
El Salvador,2013,"Recreation, culture and religion",30,,
El Salvador,2014,Total function,5742,,
El Salvador,2014,"Agriculture, forestry, fishing and hunting",72,,
El Salvador,2014,"Mining, manufacturing and construction",0,,
El Salvador,2014,Transport,27,,
El Salvador,2014,Communication,6,,
El Salvador,2014,Fuel and energy,285,,
El Salvador,2014,Environment protection,34,,
El Salvador,2014,Housing and community amenities,73,,
El Salvador,2014,Health,531,,
El Salvador,2014,Education,895,,
El Salvador,2014,Social protection,852,,
El Salvador,2014,General public services,2046,,
El Salvador,2014,Defence,164,,
El Salvador,2014,Public order and safety,630,,
El Salvador,2014,"Recreation, culture and religion",17,,
El Salvador,2014,"General economic, commercial and labour affairs",47,,
El Salvador,2014,Other industries,29,,
El Salvador,2014,RandD Economic affairs,0,,
El Salvador,2014,Economic affairs n.e.c.,34,,
El Salvador,2015,Total function,5561,,
El Salvador,2015,"Agriculture, forestry, fishing and hunting",65,,
El Salvador,2015,"Mining, manufacturing and construction",80,,
El Salvador,2015,Transport,166,,
El Salvador,2015,Communication,15,,
El Salvador,2015,Fuel and energy,176,,
El Salvador,2015,Environment protection,34,,
El Salvador,2015,Housing and community amenities,140,,
El Salvador,2015,Health,908,,
El Salvador,2015,Education,957,,
El Salvador,2015,Social protection,527,,
El Salvador,2015,General public services,1289,,
El Salvador,2015,Defence,164,,
El Salvador,2015,Public order and safety,682,,
El Salvador,2015,"Recreation, culture and religion",23,,
El Salvador,2015,"General economic, commercial and labour affairs",221,,
El Salvador,2015,Other industries,34,,
El Salvador,2015,RandD Economic affairs,27,,
El Salvador,2015,Economic affairs n.e.c.,53,,
El Salvador,2016,Total function,6079,,
El Salvador,2016,"Agriculture, forestry, fishing and hunting",48,,
El Salvador,2016,"Mining, manufacturing and construction",37,,
El Salvador,2016,Transport,135,,
El Salvador,2016,Communication,28,,
El Salvador,2016,Fuel and energy,119,,
El Salvador,2016,Environment protection,40,,
El Salvador,2016,Housing and community amenities,51,,
El Salvador,2016,Health,922,,
El Salvador,2016,Education,983,,
El Salvador,2016,Social protection,1112,,
El Salvador,2016,General public services,1360,,
El Salvador,2016,Defence,133,,
El Salvador,2016,Public order and safety,719,,
El Salvador,2016,"Recreation, culture and religion",32,,
El Salvador,2016,"General economic, commercial and labour affairs",220,,
El Salvador,2016,Other industries,22,,
El Salvador,2016,RandD Economic affairs,82,,
El Salvador,2016,Economic affairs n.e.c.,36,,
El Salvador,2017,Total function,6741,,
El Salvador,2017,"Agriculture, forestry, fishing and hunting",75,,
El Salvador,2017,"Mining, manufacturing and construction",114,,
El Salvador,2017,Transport,149,,
El Salvador,2017,Communication,27,,
El Salvador,2017,Fuel and energy,128,,
El Salvador,2017,Environment protection,37,,
El Salvador,2017,Housing and community amenities,87,,
El Salvador,2017,Health,954,,
El Salvador,2017,Education,580,,
El Salvador,2017,Social protection,1224,,
El Salvador,2017,General public services,1921,,
El Salvador,2017,Defence,168,,
El Salvador,2017,Public order and safety,822,,
El Salvador,2017,"Recreation, culture and religion",34,,
El Salvador,2017,"General economic, commercial and labour affairs",215,,
El Salvador,2017,Other industries,24,,
El Salvador,2017,RandD Economic affairs,45,,
El Salvador,2017,Economic affairs n.e.c.,141,,
El Salvador,2018,Total function,6978,,
El Salvador,2018,"Agriculture, forestry, fishing and hunting",70,,
El Salvador,2018,"Mining, manufacturing and construction",103,,
El Salvador,2018,Transport,218,,
El Salvador,2018,Communication,20,,
El Salvador,2018,Fuel and energy,61,,
El Salvador,2018,Environment protection,23,,
El Salvador,2018,Housing and community amenities,73,,
El Salvador,2018,Health,1048,,
El Salvador,2018,Education,1032,,
El Salvador,2018,Social protection,1139,,
El Salvador,2018,General public services,1917,,
El Salvador,2018,Defence,159,,
El Salvador,2018,Public order and safety,802,,
El Salvador,2018,"Recreation, culture and religion",40,,
El Salvador,2018,"General economic, commercial and labour affairs",195,,
El Salvador,2018,Other industries,25,,
El Salvador,2018,RandD Economic affairs,20,,
El Salvador,2018,Economic affairs n.e.c.,32,,
El Salvador,2019,Total function,7024,,
El Salvador,2019,"Agriculture, forestry, fishing and hunting",52,,
El Salvador,2019,"Mining, manufacturing and construction",83,,
El Salvador,2019,Transport,195,,
El Salvador,2019,Communication,12,,
El Salvador,2019,Fuel and energy,135,,
El Salvador,2019,Environment protection,27,,
El Salvador,2019,Housing and community amenities,56,,
El Salvador,2019,Health,1079,,
El Salvador,2019,Education,1007,,
El Salvador,2019,Social protection,1179,,
El Salvador,2019,General public services,1865,,
El Salvador,2019,Defence,176,,
El Salvador,2019,Public order and safety,820,,
El Salvador,2019,"Recreation, culture and religion",37,,
El Salvador,2019,"General economic, commercial and labour affairs",202,,
El Salvador,2019,Other industries,30,,
El Salvador,2019,RandD Economic affairs,26,,
El Salvador,2019,Economic affairs n.e.c.,42,,
El Salvador,2020,Total function,8757,,
El Salvador,2020,"Agriculture, forestry, fishing and hunting",99,,
El Salvador,2020,"Mining, manufacturing and construction",42,,
El Salvador,2020,Transport,245,,
El Salvador,2020,Communication,32,,
El Salvador,2020,Fuel and energy,137,,
El Salvador,2020,Environment protection,42,,
El Salvador,2020,Housing and community amenities,165,,
El Salvador,2020,Health,1226,,
El Salvador,2020,Education,1039,,
El Salvador,2020,Social protection,1256,,
El Salvador,2020,General public services,3004,,
El Salvador,2020,Defence,212,,
El Salvador,2020,Public order and safety,819,,
El Salvador,2020,"Recreation, culture and religion",37,,
El Salvador,2020,"General economic, commercial and labour affairs",235,,
El Salvador,2020,Other industries,21,,
El Salvador,2020,RandD Economic affairs,37,,
El Salvador,2020,Economic affairs n.e.c.,111,,
El Salvador,2021,Total function,9482,,
El Salvador,2021,"Agriculture, forestry, fishing and hunting",100,,
El Salvador,2021,"Mining, manufacturing and construction",183,,
El Salvador,2021,Transport,302,,
El Salvador,2021,Communication,47,,
El Salvador,2021,Fuel and energy,185,,
El Salvador,2021,Environment protection,47,,
El Salvador,2021,Housing and community amenities,237,,
El Salvador,2021,Health,1539,,
El Salvador,2021,Education,1134,,
El Salvador,2021,Social protection,2110,,
El Salvador,2021,General public services,1975,,
El Salvador,2021,Defence,265,,
El Salvador,2021,Public order and safety,979,,
El Salvador,2021,"Recreation, culture and religion",51,,
El Salvador,2021,"General economic, commercial and labour affairs",246,,
El Salvador,2021,Other industries,23,,
El Salvador,2021,RandD Economic affairs,55,,
El Salvador,2021,Economic affairs n.e.c.,6,,
Estonia,2000,Total function,2073,,
Estonia,2000,"Agriculture, forestry, fishing and hunting",50,,
Estonia,2000,"Mining, manufacturing and construction",3,,
Estonia,2000,Transport,164,,
Estonia,2000,Communication,4,,
Estonia,2000,Fuel and energy,4,,
Estonia,2000,Environment protection,30,,
Estonia,2000,Housing and community amenities,22,,
Estonia,2000,Health,258,,
Estonia,2000,Education,365,,
Estonia,2000,Social protection,599,,
Estonia,2000,General public services,202,,
Estonia,2000,Defence,68,,
Estonia,2000,Public order and safety,157,,
Estonia,2000,"Recreation, culture and religion",112,,
Estonia,2000,"General economic, commercial and labour affairs",14,,
Estonia,2000,Other industries,4,,
Estonia,2000,RandD Economic affairs,13,,
Estonia,2000,Economic affairs n.e.c.,4,,
Estonia,2001,Total function,2188,,
Estonia,2001,"Agriculture, forestry, fishing and hunting",49,,
Estonia,2001,"Mining, manufacturing and construction",3,,
Estonia,2001,Transport,177,,
Estonia,2001,Communication,4,,
Estonia,2001,Fuel and energy,3,,
Estonia,2001,Environment protection,45,,
Estonia,2001,Housing and community amenities,21,,
Estonia,2001,Health,271,,
Estonia,2001,Education,397,,
Estonia,2001,Social protection,626,,
Estonia,2001,General public services,188,,
Estonia,2001,Defence,81,,
Estonia,2001,Public order and safety,158,,
Estonia,2001,"Recreation, culture and religion",127,,
Estonia,2001,"General economic, commercial and labour affairs",14,,
Estonia,2001,Other industries,4,,
Estonia,2001,RandD Economic affairs,15,,
Estonia,2001,Economic affairs n.e.c.,5,,
Estonia,2002,Total function,2654,,
Estonia,2002,"Agriculture, forestry, fishing and hunting",64,,
Estonia,2002,"Mining, manufacturing and construction",3,,
Estonia,2002,Transport,218,,
Estonia,2002,Communication,7,,
Estonia,2002,Fuel and energy,3,,
Estonia,2002,Environment protection,46,,
Estonia,2002,Housing and community amenities,27,,
Estonia,2002,Health,324,,
Estonia,2002,Education,482,,
Estonia,2002,Social protection,723,,
Estonia,2002,General public services,249,,
Estonia,2002,Defence,100,,
Estonia,2002,Public order and safety,197,,
Estonia,2002,"Recreation, culture and religion",166,,
Estonia,2002,"General economic, commercial and labour affairs",16,,
Estonia,2002,Other industries,6,,
Estonia,2002,RandD Economic affairs,17,,
Estonia,2002,Economic affairs n.e.c.,6,,
Estonia,2003,Total function,3466,,
Estonia,2003,"Agriculture, forestry, fishing and hunting",85,,
Estonia,2003,"Mining, manufacturing and construction",6,,
Estonia,2003,Transport,270,,
Estonia,2003,Communication,7,,
Estonia,2003,Fuel and energy,6,,
Estonia,2003,Environment protection,71,,
Estonia,2003,Housing and community amenities,37,,
Estonia,2003,Health,423,,
Estonia,2003,Education,620,,
Estonia,2003,Social protection,965,,
Estonia,2003,General public services,309,,
Estonia,2003,Defence,131,,
Estonia,2003,Public order and safety,251,,
Estonia,2003,"Recreation, culture and religion",216,,
Estonia,2003,"General economic, commercial and labour affairs",22,,
Estonia,2003,Other industries,9,,
Estonia,2003,RandD Economic affairs,24,,
Estonia,2003,Economic affairs n.e.c.,15,,
Estonia,2004,Total function,4142,,
Estonia,2004,"Agriculture, forestry, fishing and hunting",90,,
Estonia,2004,"Mining, manufacturing and construction",3,,
Estonia,2004,Transport,277,,
Estonia,2004,Communication,8,,
Estonia,2004,Fuel and energy,4,,
Estonia,2004,Environment protection,85,,
Estonia,2004,Housing and community amenities,34,,
Estonia,2004,Health,513,,
Estonia,2004,Education,749,,
Estonia,2004,Social protection,1216,,
Estonia,2004,General public services,383,,
Estonia,2004,Defence,165,,
Estonia,2004,Public order and safety,265,,
Estonia,2004,"Recreation, culture and religion",261,,
Estonia,2004,"General economic, commercial and labour affairs",31,,
Estonia,2004,Other industries,13,,
Estonia,2004,RandD Economic affairs,30,,
Estonia,2004,Economic affairs n.e.c.,13,,
Estonia,2005,Total function,4758,,
Estonia,2005,"Agriculture, forestry, fishing and hunting",81,,
Estonia,2005,"Mining, manufacturing and construction",4,,
Estonia,2005,Transport,366,,
Estonia,2005,Communication,8,,
Estonia,2005,Fuel and energy,8,,
Estonia,2005,Environment protection,131,,
Estonia,2005,Housing and community amenities,25,,
Estonia,2005,Health,581,,
Estonia,2005,Education,832,,
Estonia,2005,Social protection,1356,,
Estonia,2005,General public services,439,,
Estonia,2005,Defence,194,,
Estonia,2005,Public order and safety,299,,
Estonia,2005,"Recreation, culture and religion",327,,
Estonia,2005,"General economic, commercial and labour affairs",42,,
Estonia,2005,Other industries,17,,
Estonia,2005,RandD Economic affairs,35,,
Estonia,2005,Economic affairs n.e.c.,13,,
Estonia,2006,Total function,5697,,
Estonia,2006,"Agriculture, forestry, fishing and hunting",105,,
Estonia,2006,"Mining, manufacturing and construction",5,,
Estonia,2006,Transport,477,,
Estonia,2006,Communication,10,,
Estonia,2006,Fuel and energy,20,,
Estonia,2006,Environment protection,135,,
Estonia,2006,Housing and community amenities,2,,
Estonia,2006,Health,734,,
Estonia,2006,Education,998,,
Estonia,2006,Social protection,1569,,
Estonia,2006,General public services,585,,
Estonia,2006,Defence,221,,
Estonia,2006,Public order and safety,341,,
Estonia,2006,"Recreation, culture and religion",375,,
Estonia,2006,"General economic, commercial and labour affairs",45,,
Estonia,2006,Other industries,21,,
Estonia,2006,RandD Economic affairs,37,,
Estonia,2006,Economic affairs n.e.c.,17,,
Estonia,2007,Total function,7583,,
Estonia,2007,"Agriculture, forestry, fishing and hunting",180,,
Estonia,2007,"Mining, manufacturing and construction",5,,
Estonia,2007,Transport,560,,
Estonia,2007,Communication,12,,
Estonia,2007,Fuel and energy,52,,
Estonia,2007,Environment protection,192,,
Estonia,2007,Housing and community amenities,130,,
Estonia,2007,Health,990,,
Estonia,2007,Education,1289,,
Estonia,2007,Social protection,2028,,
Estonia,2007,General public services,752,,
Estonia,2007,Defence,282,,
Estonia,2007,Public order and safety,476,,
Estonia,2007,"Recreation, culture and religion",463,,
Estonia,2007,"General economic, commercial and labour affairs",71,,
Estonia,2007,Other industries,24,,
Estonia,2007,RandD Economic affairs,59,,
Estonia,2007,Economic affairs n.e.c.,18,,
Estonia,2008,Total function,9642,,
Estonia,2008,"Agriculture, forestry, fishing and hunting",185,,
Estonia,2008,"Mining, manufacturing and construction",6,,
Estonia,2008,Transport,686,,
Estonia,2008,Communication,13,,
Estonia,2008,Fuel and energy,84,,
Estonia,2008,Environment protection,263,,
Estonia,2008,Housing and community amenities,141,,
Estonia,2008,Health,1283,,
Estonia,2008,Education,1585,,
Estonia,2008,Social protection,2754,,
Estonia,2008,General public services,773,,
Estonia,2008,Defence,414,,
Estonia,2008,Public order and safety,650,,
Estonia,2008,"Recreation, culture and religion",576,,
Estonia,2008,"General economic, commercial and labour affairs",100,,
Estonia,2008,Other industries,38,,
Estonia,2008,RandD Economic affairs,70,,
Estonia,2008,Economic affairs n.e.c.,20,,
Estonia,2009,Total function,9038,,
Estonia,2009,"Agriculture, forestry, fishing and hunting",245,,
Estonia,2009,"Mining, manufacturing and construction",2,,
Estonia,2009,Transport,542,,
Estonia,2009,Communication,8,,
Estonia,2009,Fuel and energy,65,,
Estonia,2009,Environment protection,152,,
Estonia,2009,Housing and community amenities,9,,
Estonia,2009,Health,1168,,
Estonia,2009,Education,1383,,
Estonia,2009,Social protection,2960,,
Estonia,2009,General public services,740,,
Estonia,2009,Defence,440,,
Estonia,2009,Public order and safety,463,,
Estonia,2009,"Recreation, culture and religion",486,,
Estonia,2009,"General economic, commercial and labour affairs",210,,
Estonia,2009,Other industries,30,,
Estonia,2009,RandD Economic affairs,53,,
Estonia,2009,Economic affairs n.e.c.,82,,
Estonia,2010,Total function,7871,,
Estonia,2010,"Agriculture, forestry, fishing and hunting",133,,
Estonia,2010,"Mining, manufacturing and construction",6,,
Estonia,2010,Transport,541,,
Estonia,2010,Communication,8,,
Estonia,2010,Fuel and energy,19,,
Estonia,2010,Housing and community amenities,93,,
Estonia,2010,Health,1108,,
Estonia,2010,Education,1274,,
Estonia,2010,Social protection,2696,,
Estonia,2010,General public services,644,,
Estonia,2010,Defence,340,,
Estonia,2010,Public order and safety,426,,
Estonia,2010,"Recreation, culture and religion",430,,
Estonia,2010,"General economic, commercial and labour affairs",106,,
Estonia,2010,Other industries,28,,
Estonia,2010,RandD Economic affairs,52,,
Estonia,2010,Economic affairs n.e.c.,18,,
Estonia,2011,Total function,8688,,
Estonia,2011,"Agriculture, forestry, fishing and hunting",154,,
Estonia,2011,"Mining, manufacturing and construction",8,,
Estonia,2011,Transport,638,,
Estonia,2011,Communication,8,,
Estonia,2011,Housing and community amenities,126,,
Estonia,2011,Health,1215,,
Estonia,2011,Education,1413,,
Estonia,2011,Social protection,2842,,
Estonia,2011,General public services,791,,
Estonia,2011,Defence,351,,
Estonia,2011,Public order and safety,478,,
Estonia,2011,"Recreation, culture and religion",463,,
Estonia,2011,"General economic, commercial and labour affairs",106,,
Estonia,2011,Other industries,38,,
Estonia,2011,RandD Economic affairs,82,,
Estonia,2011,Economic affairs n.e.c.,18,,
Estonia,2012,Total function,9034,,
Estonia,2012,"Agriculture, forestry, fishing and hunting",152,,
Estonia,2012,"Mining, manufacturing and construction",9,,
Estonia,2012,Transport,633,,
Estonia,2012,Communication,8,,
Estonia,2012,Fuel and energy,21,,
Estonia,2012,Environment protection,203,,
Estonia,2012,Housing and community amenities,152,,
Estonia,2012,Health,1206,,
Estonia,2012,Education,1411,,
Estonia,2012,Social protection,2766,,
Estonia,2012,General public services,918,,
Estonia,2012,Defence,421,,
Estonia,2012,Public order and safety,468,,
Estonia,2012,"Recreation, culture and religion",430,,
Estonia,2012,"General economic, commercial and labour affairs",97,,
Estonia,2012,Other industries,46,,
Estonia,2012,RandD Economic affairs,76,,
Estonia,2012,Economic affairs n.e.c.,19,,
Estonia,2013,Total function,9651,,
Estonia,2013,"Agriculture, forestry, fishing and hunting",178,,
Estonia,2013,"Mining, manufacturing and construction",7,,
Estonia,2013,Transport,751,,
Estonia,2013,Communication,9,,
Estonia,2013,Environment protection,167,,
Estonia,2013,Housing and community amenities,151,,
Estonia,2013,Health,1315,,
Estonia,2013,Education,1484,,
Estonia,2013,Social protection,2922,,
Estonia,2013,General public services,994,,
Estonia,2013,Defence,461,,
Estonia,2013,Public order and safety,470,,
Estonia,2013,"Recreation, culture and religion",526,,
Estonia,2013,"General economic, commercial and labour affairs",86,,
Estonia,2013,Other industries,44,,
Estonia,2013,RandD Economic affairs,84,,
Estonia,2013,Economic affairs n.e.c.,31,,
Estonia,2014,Total function,10058,,
Estonia,2014,"Agriculture, forestry, fishing and hunting",136,,
Estonia,2014,"Mining, manufacturing and construction",10,,
Estonia,2014,Transport,793,,
Estonia,2014,Communication,10,,
Estonia,2014,Fuel and energy,48,,
Estonia,2014,Environment protection,182,,
Estonia,2014,Housing and community amenities,137,,
Estonia,2014,Health,1413,,
Estonia,2014,Education,1471,,
Estonia,2014,Social protection,3064,,
Estonia,2014,General public services,1039,,
Estonia,2014,Defence,476,,
Estonia,2014,Public order and safety,511,,
Estonia,2014,"Recreation, culture and religion",539,,
Estonia,2014,"General economic, commercial and labour affairs",88,,
Estonia,2014,Other industries,46,,
Estonia,2014,RandD Economic affairs,74,,
Estonia,2014,Economic affairs n.e.c.,21,,
Estonia,2015,Total function,9048,,
Estonia,2015,"Agriculture, forestry, fishing and hunting",117,,
Estonia,2015,"Mining, manufacturing and construction",8,,
Estonia,2015,Transport,742,,
Estonia,2015,Communication,11,,
Estonia,2015,Fuel and energy,5,,
Estonia,2015,Environment protection,166,,
Estonia,2015,Housing and community amenities,82,,
Estonia,2015,Health,1300,,
Estonia,2015,Education,1355,,
Estonia,2015,Social protection,2854,,
Estonia,2015,General public services,922,,
Estonia,2015,Defence,432,,
Estonia,2015,Public order and safety,407,,
Estonia,2015,"Recreation, culture and religion",457,,
Estonia,2015,"General economic, commercial and labour affairs",83,,
Estonia,2015,Other industries,26,,
Estonia,2015,RandD Economic affairs,57,,
Estonia,2015,Economic affairs n.e.c.,24,,
Estonia,2016,Total function,9484,,
Estonia,2016,"Agriculture, forestry, fishing and hunting",126,,
Estonia,2016,"Mining, manufacturing and construction",8,,
Estonia,2016,Transport,648,,
Estonia,2016,Communication,9,,
Estonia,2016,Fuel and energy,29,,
Estonia,2016,Environment protection,143,,
Estonia,2016,Housing and community amenities,82,,
Estonia,2016,Health,1301,,
Estonia,2016,Education,1362,,
Estonia,2016,Social protection,3083,,
Estonia,2016,General public services,954,,
Estonia,2016,Defence,569,,
Estonia,2016,Public order and safety,460,,
Estonia,2016,"Recreation, culture and religion",496,,
Estonia,2016,"General economic, commercial and labour affairs",123,,
Estonia,2016,Other industries,19,,
Estonia,2016,RandD Economic affairs,48,,
Estonia,2016,Economic affairs n.e.c.,26,,
Estonia,2017,Total function,10564,,
Estonia,2017,"Agriculture, forestry, fishing and hunting",149,,
Estonia,2017,"Mining, manufacturing and construction",7,,
Estonia,2017,Transport,864,,
Estonia,2017,Communication,9,,
Estonia,2017,Fuel and energy,16,,
Estonia,2017,Environment protection,198,,
Estonia,2017,Housing and community amenities,96,,
Estonia,2017,Health,1412,,
Estonia,2017,Education,1531,,
Estonia,2017,Social protection,3391,,
Estonia,2017,General public services,1037,,
Estonia,2017,Defence,549,,
Estonia,2017,Public order and safety,512,,
Estonia,2017,"Recreation, culture and religion",577,,
Estonia,2017,"General economic, commercial and labour affairs",100,,
Estonia,2017,Other industries,23,,
Estonia,2017,RandD Economic affairs,66,,
Estonia,2017,Economic affairs n.e.c.,27,,
Estonia,2018,Total function,12027,,
Estonia,2018,"Agriculture, forestry, fishing and hunting",150,,
Estonia,2018,"Mining, manufacturing and construction",6,,
Estonia,2018,Transport,810,,
Estonia,2018,Communication,8,,
Estonia,2018,Fuel and energy,10,,
Estonia,2018,Environment protection,228,,
Estonia,2018,Housing and community amenities,102,,
Estonia,2018,Health,1666,,
Estonia,2018,Education,1900,,
Estonia,2018,Social protection,3913,,
Estonia,2018,General public services,1189,,
Estonia,2018,Defence,626,,
Estonia,2018,Public order and safety,569,,
Estonia,2018,"Recreation, culture and religion",601,,
Estonia,2018,"General economic, commercial and labour affairs",105,,
Estonia,2018,Other industries,35,,
Estonia,2018,RandD Economic affairs,77,,
Estonia,2018,Economic affairs n.e.c.,33,,
Estonia,2019,Total function,12243,,
Estonia,2019,"Agriculture, forestry, fishing and hunting",137,,
Estonia,2019,"Mining, manufacturing and construction",4,,
Estonia,2019,Transport,817,,
Estonia,2019,Communication,10,,
Estonia,2019,Fuel and energy,23,,
Estonia,2019,Environment protection,210,,
Estonia,2019,Housing and community amenities,127,,
Estonia,2019,Health,1766,,
Estonia,2019,Education,1901,,
Estonia,2019,Social protection,4059,,
Estonia,2019,General public services,1102,,
Estonia,2019,Defence,658,,
Estonia,2019,Public order and safety,559,,
Estonia,2019,"Recreation, culture and religion",632,,
Estonia,2019,"General economic, commercial and labour affairs",116,,
Estonia,2019,Other industries,30,,
Estonia,2019,RandD Economic affairs,61,,
Estonia,2019,Economic affairs n.e.c.,33,,
Estonia,2020,Total function,14076,,
Estonia,2020,"Agriculture, forestry, fishing and hunting",129,,
Estonia,2020,"Mining, manufacturing and construction",5,,
Estonia,2020,Transport,951,,
Estonia,2020,Communication,13,,
Estonia,2020,Fuel and energy,35,,
Estonia,2020,Environment protection,210,,
Estonia,2020,Housing and community amenities,127,,
Estonia,2020,Health,2058,,
Estonia,2020,Education,2011,,
Estonia,2020,Social protection,4611,,
Estonia,2020,General public services,1247,,
Estonia,2020,Defence,752,,
Estonia,2020,Public order and safety,618,,
Estonia,2020,"Recreation, culture and religion",633,,
Estonia,2020,"General economic, commercial and labour affairs",509,,
Estonia,2020,Other industries,55,,
Estonia,2020,RandD Economic affairs,75,,
Estonia,2020,Economic affairs n.e.c.,36,,
Estonia,2021,Total function,15424,,
Estonia,2021,"Agriculture, forestry, fishing and hunting",152,,
Estonia,2021,"Mining, manufacturing and construction",4,,
Estonia,2021,Transport,1097,,
Estonia,2021,Communication,15,,
Estonia,2021,Fuel and energy,75,,
Estonia,2021,Environment protection,206,,
Estonia,2021,Housing and community amenities,171,,
Estonia,2021,Health,2414,,
Estonia,2021,Education,2198,,
Estonia,2021,Social protection,5012,,
Estonia,2021,General public services,1427,,
Estonia,2021,Defence,757,,
Estonia,2021,Public order and safety,679,,
Estonia,2021,"Recreation, culture and religion",763,,
Estonia,2021,"General economic, commercial and labour affairs",272,,
Estonia,2021,Other industries,31,,
Estonia,2021,RandD Economic affairs,85,,
Estonia,2021,Economic affairs n.e.c.,64,,
Fiji,2005,Total function,822,,
Fiji,2005,Environment protection,8,,
Fiji,2005,Housing and community amenities,76,,
Fiji,2005,Health,79,,
Fiji,2005,Education,176,,
Fiji,2005,Social protection,37,,
Fiji,2005,General public services,233,,
Fiji,2005,Defence,49,,
Fiji,2005,Public order and safety,56,,
Fiji,2005,"Recreation, culture and religion",7,,
Fiji,2006,Total function,884,,
Fiji,2006,Environment protection,2,,
Fiji,2006,Housing and community amenities,83,,
Fiji,2006,Health,83,,
Fiji,2006,Education,198,,
Fiji,2006,Social protection,35,,
Fiji,2006,General public services,221,,
Fiji,2006,Defence,48,,
Fiji,2006,Public order and safety,83,,
Fiji,2006,"Recreation, culture and religion",6,,
Fiji,2010,Total function,846,,
Fiji,2011,Total function,1031,,
Fiji,2012,Total function,1074,,
Fiji,2013,Total function,1129,,
Fiji,2014,Total function,1379,,
Fiji,2015,Total function,1376,,
Fiji,2016,Total function,1328,,
Fiji,2017,Total function,1757,,
Fiji,2018,Total function,1740,,
Finland,2000,Total function,60420,,
Finland,2000,Environment protection,394,,
Finland,2000,Housing and community amenities,539,,
Finland,2000,Health,7207,,
Finland,2000,Education,7377,,
Finland,2000,Social protection,24613,,
Finland,2000,General public services,9458,,
Finland,2000,Defence,1751,,
Finland,2000,Public order and safety,1624,,
Finland,2000,"Recreation, culture and religion",1418,,
Finland,2001,Total function,61240,,
Finland,2001,"Agriculture, forestry, fishing and hunting",1458,,
Finland,2001,"Mining, manufacturing and construction",110,,
Finland,2001,Transport,2395,,
Finland,2001,Communication,34,,
Finland,2001,Fuel and energy,22,,
Finland,2001,Environment protection,389,,
Finland,2001,Housing and community amenities,541,,
Finland,2001,Health,7572,,
Finland,2001,Education,7635,,
Finland,2001,Social protection,24854,,
Finland,2001,General public services,9590,,
Finland,2001,Defence,1673,,
Finland,2001,Public order and safety,1660,,
Finland,2001,"Recreation, culture and religion",1377,,
Finland,2001,"General economic, commercial and labour affairs",862,,
Finland,2001,Other industries,123,,
Finland,2001,RandD Economic affairs,737,,
Finland,2001,Economic affairs n.e.c.,208,,
Finland,2002,Total function,68054,,
Finland,2002,"Agriculture, forestry, fishing and hunting",1599,,
Finland,2002,"Mining, manufacturing and construction",123,,
Finland,2002,Transport,2880,,
Finland,2002,Communication,39,,
Finland,2002,Fuel and energy,21,,
Finland,2002,Environment protection,418,,
Finland,2002,Housing and community amenities,545,,
Finland,2002,Health,8698,,
Finland,2002,Education,8574,,
Finland,2002,Social protection,27994,,
Finland,2002,General public services,9823,,
Finland,2002,Defence,1825,,
Finland,2002,Public order and safety,1751,,
Finland,2002,"Recreation, culture and religion",1525,,
Finland,2002,"General economic, commercial and labour affairs",1023,,
Finland,2002,Other industries,138,,
Finland,2002,RandD Economic affairs,845,,
Finland,2002,Economic affairs n.e.c.,233,,
Finland,2003,Total function,84693,,
Finland,2003,"Agriculture, forestry, fishing and hunting",1952,,
Finland,2003,"Mining, manufacturing and construction",141,,
Finland,2003,Transport,3474,,
Finland,2003,Communication,50,,
Finland,2003,Fuel and energy,28,,
Finland,2003,Environment protection,519,,
Finland,2003,Housing and community amenities,571,,
Finland,2003,Health,11019,,
Finland,2003,Education,10798,,
Finland,2003,Social protection,34917,,
Finland,2003,General public services,12214,,
Finland,2003,Defence,2400,,
Finland,2003,Public order and safety,2227,,
Finland,2003,"Recreation, culture and religion",1897,,
Finland,2003,"General economic, commercial and labour affairs",1351,,
Finland,2003,Other industries,0,,
Finland,2003,RandD Economic affairs,989,,
Finland,2003,Economic affairs n.e.c.,146,,
Finland,2004,Total function,97008,,
Finland,2004,"Agriculture, forestry, fishing and hunting",2186,,
Finland,2004,"Mining, manufacturing and construction",147,,
Finland,2004,Transport,4136,,
Finland,2004,Communication,56,,
Finland,2004,Fuel and energy,30,,
Finland,2004,Environment protection,562,,
