Country Name,Year,Government Expenditure,US_dollars_at_current_prices_in_millions_Value,Unnamed: 4,Unnamed: 5,Country Code
Finland,2014,Fuel and energy,186.0,,,FIN
Finland,2014,Environment protection,692.0,,,FIN
Finland,2014,Housing and community amenities,1080.0,,,FIN
Finland,2014,Health,21467.0,,,FIN
Finland,2014,Education,17427.0,,,FIN
Finland,2014,Social protection,69326.0,,,FIN
Finland,2014,General public services,22685.0,,,FIN
Finland,2014,Defence,3803.0,,,FIN
Finland,2014,Public order and safety,3531.0,,,FIN
Finland,2014,"Recreation, culture and religion",3960.0,,,FIN
Finland,2014,"General economic, commercial and labour affairs",1948.0,,,FIN
Finland,2014,Other industries,20.0,,,FIN
Finland,2014,RandD Economic affairs,1550.0,,,FIN
Finland,2014,Economic affairs n.e.c.,187.0,,,FIN
Finland,2015,Total function,132492.0,,,FIN
Finland,2015,"Agriculture, forestry, fishing and hunting",1790.0,,,FIN
Finland,2015,"Mining, manufacturing and construction",485.0,,,FIN
Finland,2015,Transport,5708.0,,,FIN
Finland,2015,Communication,42.0,,,FIN
Finland,2015,Fuel and energy,337.0,,,FIN
Finland,2015,Environment protection,554.0,,,FIN
Finland,2015,Housing and community amenities,953.0,,,FIN
Finland,2015,Health,17093.0,,,FIN
Finland,2015,Education,14529.0,,,FIN
Finland,2015,Social protection,59262.0,,,FIN
Finland,2015,General public services,19620.0,,,FIN
Finland,2015,Defence,3062.0,,,FIN
Finland,2015,Public order and safety,2907.0,,,FIN
Finland,2015,"Recreation, culture and religion",3413.0,,,FIN
Finland,2015,"General economic, commercial and labour affairs",1478.0,,,FIN
Finland,2015,Other industries,0.0,,,FIN
Finland,2015,RandD Economic affairs,1259.0,,,FIN
Finland,2015,Economic affairs n.e.c.,0.0,,,FIN
Finland,2016,Total function,133984.0,,,FIN
Finland,2016,"Agriculture, forestry, fishing and hunting",1789.0,,,FIN
Finland,2016,"Mining, manufacturing and construction",560.0,,,FIN
Finland,2016,Transport,5643.0,,,FIN
Finland,2016,Communication,39.0,,,FIN
Finland,2016,Fuel and energy,283.0,,,FIN
Finland,2016,Environment protection,546.0,,,FIN
Finland,2016,Housing and community amenities,750.0,,,FIN
Finland,2016,Health,17285.0,,,FIN
Finland,2016,Education,14565.0,,,FIN
Finland,2016,Social protection,61351.0,,,FIN
Finland,2016,General public services,19104.0,,,FIN
Finland,2016,Defence,3196.0,,,FIN
Finland,2016,Public order and safety,2857.0,,,FIN
Finland,2016,"Recreation, culture and religion",3482.0,,,FIN
Finland,2016,"General economic, commercial and labour affairs",1328.0,,,FIN
Finland,2016,Other industries,0.0,,,FIN
Finland,2016,RandD Economic affairs,1205.0,,,FIN
Finland,2016,Economic affairs n.e.c.,0.0,,,FIN
Finland,2017,Total function,137115.0,,,FIN
Finland,2017,"Agriculture, forestry, fishing and hunting",1797.0,,,FIN
Finland,2017,"Mining, manufacturing and construction",182.0,,,FIN
Finland,2017,Transport,5849.0,,,FIN
Finland,2017,Communication,40.0,,,FIN
Finland,2017,Fuel and energy,399.0,,,FIN
Finland,2017,Environment protection,512.0,,,FIN
Finland,2017,Housing and community amenities,827.0,,,FIN
Finland,2017,Health,17926.0,,,FIN
Finland,2017,Education,14443.0,,,FIN
Finland,2017,Social protection,62749.0,,,FIN
Finland,2017,General public services,19856.0,,,FIN
Finland,2017,Defence,3179.0,,,FIN
Finland,2017,Public order and safety,2881.0,,,FIN
Finland,2017,"Recreation, culture and religion",3740.0,,,FIN
Finland,2017,"General economic, commercial and labour affairs",1463.0,,,FIN
Finland,2017,Other industries,0.0,,,FIN
Finland,2017,RandD Economic affairs,1272.0,,,FIN
Finland,2017,Economic affairs n.e.c.,0.0,,,FIN
Finland,2018,Total function,147178.0,,,FIN
Finland,2018,"Agriculture, forestry, fishing and hunting",1921.0,,,FIN
Finland,2018,"Mining, manufacturing and construction",148.0,,,FIN
Finland,2018,Transport,6070.0,,,FIN
Finland,2018,Communication,50.0,,,FIN
Finland,2018,Fuel and energy,383.0,,,FIN
Finland,2018,Environment protection,546.0,,,FIN
Finland,2018,Housing and community amenities,834.0,,,FIN
Finland,2018,Health,19501.0,,,FIN
Finland,2018,Education,15298.0,,,FIN
Finland,2018,Social protection,66863.0,,,FIN
Finland,2018,General public services,22068.0,,,FIN
Finland,2018,Defence,3285.0,,,FIN
Finland,2018,Public order and safety,3059.0,,,FIN
Finland,2018,"Recreation, culture and religion",4183.0,,,FIN
Finland,2018,"General economic, commercial and labour affairs",1649.0,,,FIN
Finland,2018,Other industries,0.0,,,FIN
Finland,2018,RandD Economic affairs,1320.0,,,FIN
Finland,2018,Economic affairs n.e.c.,0.0,,,FIN
Finland,2019,Total function,143231.0,,,FIN
Finland,2019,"Agriculture, forestry, fishing and hunting",1858.0,,,FIN
Finland,2019,"Mining, manufacturing and construction",132.0,,,FIN
Finland,2019,Transport,6017.0,,,FIN
Finland,2019,Communication,3.0,,,FIN
Finland,2019,Fuel and energy,369.0,,,FIN
Finland,2019,Environment protection,519.0,,,FIN
Finland,2019,Housing and community amenities,856.0,,,FIN
Finland,2019,Health,19159.0,,,FIN
Finland,2019,Education,15066.0,,,FIN
Finland,2019,Social protection,64616.0,,,FIN
Finland,2019,General public services,21473.0,,,FIN
Finland,2019,Defence,3091.0,,,FIN
Finland,2019,Public order and safety,3152.0,,,FIN
Finland,2019,"Recreation, culture and religion",3992.0,,,FIN
Finland,2019,"General economic, commercial and labour affairs",1637.0,,,FIN
Finland,2019,Other industries,0.0,,,FIN
Finland,2019,RandD Economic affairs,1290.0,,,FIN
Finland,2019,Economic affairs n.e.c.,0.0,,,FIN
Finland,2020,Total function,155485.0,,,FIN
Finland,2020,"Agriculture, forestry, fishing and hunting",1984.0,,,FIN
Finland,2020,"Mining, manufacturing and construction",114.0,,,FIN
Finland,2020,Transport,6822.0,,,FIN
Finland,2020,Communication,3.0,,,FIN
Finland,2020,Fuel and energy,501.0,,,FIN
Finland,2020,Environment protection,620.0,,,FIN
Finland,2020,Housing and community amenities,893.0,,,FIN
Finland,2020,Health,20735.0,,,FIN
Finland,2020,Education,15920.0,,,FIN
Finland,2020,Social protection,69344.0,,,FIN
Finland,2020,General public services,22823.0,,,FIN
Finland,2020,Defence,3797.0,,,FIN
Finland,2020,Public order and safety,3150.0,,,FIN
Finland,2020,"Recreation, culture and religion",4088.0,,,FIN
Finland,2020,"General economic, commercial and labour affairs",2322.0,,,FIN
Finland,2020,Other industries,143.0,,,FIN
Finland,2020,RandD Economic affairs,2224.0,,,FIN
Finland,2020,Economic affairs n.e.c.,0.0,,,FIN
Finland,2021,Total function,165498.0,,,FIN
Finland,2021,"Agriculture, forestry, fishing and hunting",1871.0,,,FIN
Finland,2021,"Mining, manufacturing and construction",130.0,,,FIN
Finland,2021,Transport,7277.0,,,FIN
Finland,2021,Communication,2.0,,,FIN
Finland,2021,Fuel and energy,422.0,,,FIN
Finland,2021,Environment protection,685.0,,,FIN
Finland,2021,Housing and community amenities,1193.0,,,FIN
Finland,2021,Health,22918.0,,,FIN
Finland,2021,Education,16932.0,,,FIN
Finland,2021,Social protection,73300.0,,,FIN
Finland,2021,General public services,24056.0,,,FIN
Finland,2021,Defence,3545.0,,,FIN
Finland,2021,Public order and safety,3439.0,,,FIN
Finland,2021,"Recreation, culture and religion",4433.0,,,FIN
Finland,2021,"General economic, commercial and labour affairs",3523.0,,,FIN
Finland,2021,Other industries,13.0,,,FIN
Finland,2021,RandD Economic affairs,1758.0,,,FIN
Finland,2021,Economic affairs n.e.c.,0.0,,,FIN
France,2000,Total function,705385.0,,,FRA
France,2000,"Agriculture, forestry, fishing and hunting",5737.0,,,FRA
France,2000,"Mining, manufacturing and construction",398.0,,,FRA
France,2000,Transport,27779.0,,,FRA
France,2000,Communication,212.0,,,FRA
France,2000,Fuel and energy,3230.0,,,FRA
France,2000,Environment protection,9506.0,,,FRA
France,2000,Housing and community amenities,14138.0,,,FRA
France,2000,Health,95352.0,,,FRA
France,2000,Education,76479.0,,,FRA
France,2000,Social protection,278338.0,,,FRA
France,2000,General public services,106500.0,,,FRA
France,2000,Defence,26520.0,,,FRA
France,2000,Public order and safety,18530.0,,,FRA
France,2000,"Recreation, culture and religion",14819.0,,,FRA
France,2000,"General economic, commercial and labour affairs",12062.0,,,FRA
France,2000,Other industries,4155.0,,,FRA
France,2000,RandD Economic affairs,10633.0,,,FRA
France,2000,Economic affairs n.e.c.,996.0,,,FRA
France,2001,Total function,712502.0,,,FRA
France,2001,"Agriculture, forestry, fishing and hunting",4875.0,,,FRA
France,2001,"Mining, manufacturing and construction",400.0,,,FRA
France,2001,Transport,24204.0,,,FRA
France,2001,Communication,211.0,,,FRA
France,2001,Fuel and energy,3300.0,,,FRA
France,2001,Environment protection,10277.0,,,FRA
France,2001,Housing and community amenities,14094.0,,,FRA
France,2001,Health,96718.0,,,FRA
France,2001,Education,77394.0,,,FRA
France,2001,Social protection,281522.0,,,FRA
France,2001,General public services,107683.0,,,FRA
France,2001,Defence,27708.0,,,FRA
France,2001,Public order and safety,19927.0,,,FRA
France,2001,"Recreation, culture and religion",16369.0,,,FRA
France,2001,"General economic, commercial and labour affairs",11826.0,,,FRA
France,2001,Other industries,3620.0,,,FRA
France,2001,RandD Economic affairs,11383.0,,,FRA
France,2001,Economic affairs n.e.c.,989.0,,,FRA
France,2002,Total function,792672.0,,,FRA
France,2002,"Agriculture, forestry, fishing and hunting",5627.0,,,FRA
France,2002,"Mining, manufacturing and construction",422.0,,,FRA
France,2002,Transport,27408.0,,,FRA
France,2002,Communication,197.0,,,FRA
France,2002,Fuel and energy,4001.0,,,FRA
France,2002,Environment protection,11382.0,,,FRA
France,2002,Housing and community amenities,16926.0,,,FRA
France,2002,Health,109394.0,,,FRA
France,2002,Education,86796.0,,,FRA
France,2002,Social protection,310716.0,,,FRA
France,2002,General public services,115503.0,,,FRA
France,2002,Defence,30586.0,,,FRA
France,2002,Public order and safety,22930.0,,,FRA
France,2002,"Recreation, culture and religion",19181.0,,,FRA
France,2002,"General economic, commercial and labour affairs",13277.0,,,FRA
France,2002,Other industries,4116.0,,,FRA
France,2002,RandD Economic affairs,13102.0,,,FRA
France,2002,Economic affairs n.e.c.,1109.0,,,FRA
France,2003,Total function,982599.0,,,FRA
France,2003,"Agriculture, forestry, fishing and hunting",6725.0,,,FRA
France,2003,"Mining, manufacturing and construction",511.0,,,FRA
France,2003,Transport,34937.0,,,FRA
France,2003,Communication,228.0,,,FRA
France,2003,Fuel and energy,4997.0,,,FRA
France,2003,Environment protection,14906.0,,,FRA
France,2003,Housing and community amenities,20862.0,,,FRA
France,2003,Health,139043.0,,,FRA
France,2003,Education,106284.0,,,FRA
France,2003,Social protection,392562.0,,,FRA
France,2003,General public services,137787.0,,,FRA
France,2003,Defence,34223.0,,,FRA
France,2003,Public order and safety,28763.0,,,FRA
France,2003,"Recreation, culture and religion",24826.0,,,FRA
France,2003,"General economic, commercial and labour affairs",14525.0,,,FRA
France,2003,Other industries,5106.0,,,FRA
France,2003,RandD Economic affairs,14945.0,,,FRA
France,2003,Economic affairs n.e.c.,1369.0,,,FRA
France,2004,Total function,1123086.0,,,FRA
France,2004,"Agriculture, forestry, fishing and hunting",8731.0,,,FRA
France,2004,"Mining, manufacturing and construction",583.0,,,FRA
France,2004,Transport,40244.0,,,FRA
France,2004,Communication,226.0,,,FRA
France,2004,Fuel and energy,4974.0,,,FRA
France,2004,Environment protection,17750.0,,,FRA
France,2004,Housing and community amenities,23943.0,,,FRA
France,2004,Health,160687.0,,,FRA
France,2004,Education,117623.0,,,FRA
France,2004,Social protection,450257.0,,,FRA
France,2004,General public services,156886.0,,,FRA
France,2004,Defence,39162.0,,,FRA
France,2004,Public order and safety,32395.0,,,FRA
France,2004,"Recreation, culture and religion",28232.0,,,FRA
France,2004,"General economic, commercial and labour affairs",16522.0,,,FRA
France,2004,Other industries,5901.0,,,FRA
France,2004,RandD Economic affairs,17311.0,,,FRA
France,2004,Economic affairs n.e.c.,1657.0,,,FRA
France,2005,Total function,1170842.0,,,FRA
France,2005,"Agriculture, forestry, fishing and hunting",9171.0,,,FRA
France,2005,"Mining, manufacturing and construction",610.0,,,FRA
France,2005,Transport,44802.0,,,FRA
France,2005,Communication,226.0,,,FRA
France,2005,Fuel and energy,5261.0,,,FRA
France,2005,Environment protection,19067.0,,,FRA
France,2005,Housing and community amenities,23437.0,,,FRA
France,2005,Health,168620.0,,,FRA
France,2005,Education,121210.0,,,FRA
France,2005,Social protection,468699.0,,,FRA
France,2005,General public services,162698.0,,,FRA
France,2005,Defence,39604.0,,,FRA
France,2005,Public order and safety,33115.0,,,FRA
France,2005,"Recreation, culture and religion",30239.0,,,FRA
France,2005,"General economic, commercial and labour affairs",17570.0,,,FRA
France,2005,Other industries,6258.0,,,FRA
France,2005,RandD Economic affairs,18482.0,,,FRA
France,2005,Economic affairs n.e.c.,1769.0,,,FRA
France,2006,Total function,1227001.0,,,FRA
France,2006,"Agriculture, forestry, fishing and hunting",9565.0,,,FRA
France,2006,"Mining, manufacturing and construction",639.0,,,FRA
France,2006,Transport,44746.0,,,FRA
France,2006,Communication,218.0,,,FRA
France,2006,Fuel and energy,5554.0,,,FRA
France,2006,Environment protection,20785.0,,,FRA
France,2006,Housing and community amenities,26319.0,,,FRA
France,2006,Health,176011.0,,,FRA
France,2006,Education,127057.0,,,FRA
France,2006,Social protection,501049.0,,,FRA
France,2006,General public services,160015.0,,,FRA
France,2006,Defence,41587.0,,,FRA
France,2006,Public order and safety,34260.0,,,FRA
France,2006,"Recreation, culture and religion",32987.0,,,FRA
France,2006,"General economic, commercial and labour affairs",18972.0,,,FRA
France,2006,Other industries,6539.0,,,FRA
France,2006,RandD Economic affairs,18798.0,,,FRA
France,2006,Economic affairs n.e.c.,1897.0,,,FRA
France,2007,Total function,1398551.0,,,FRA
France,2007,"Agriculture, forestry, fishing and hunting",10331.0,,,FRA
France,2007,"Mining, manufacturing and construction",702.0,,,FRA
France,2007,Transport,49528.0,,,FRA
France,2007,Communication,215.0,,,FRA
France,2007,Fuel and energy,6385.0,,,FRA
France,2007,Environment protection,23127.0,,,FRA
France,2007,Housing and community amenities,30670.0,,,FRA
France,2007,Health,198558.0,,,FRA
France,2007,Education,141132.0,,,FRA
France,2007,Social protection,576452.0,,,FRA
France,2007,General public services,190934.0,,,FRA
France,2007,Defence,46122.0,,,FRA
France,2007,Public order and safety,38830.0,,,FRA
France,2007,"Recreation, culture and religion",37792.0,,,FRA
France,2007,"General economic, commercial and labour affairs",18251.0,,,FRA
France,2007,Other industries,7059.0,,,FRA
France,2007,RandD Economic affairs,20352.0,,,FRA
France,2007,Economic affairs n.e.c.,2117.0,,,FRA
France,2008,Total function,1561744.0,,,FRA
France,2008,"Agriculture, forestry, fishing and hunting",11300.0,,,FRA
France,2008,"Mining, manufacturing and construction",740.0,,,FRA
France,2008,Transport,55590.0,,,FRA
France,2008,Communication,203.0,,,FRA
France,2008,Fuel and energy,6427.0,,,FRA
France,2008,Environment protection,26172.0,,,FRA
France,2008,Housing and community amenities,35631.0,,,FRA
France,2008,Health,218281.0,,,FRA
France,2008,Education,157864.0,,,FRA
France,2008,Social protection,640193.0,,,FRA
France,2008,General public services,211184.0,,,FRA
France,2008,Defence,50482.0,,,FRA
France,2008,Public order and safety,45085.0,,,FRA
France,2008,"Recreation, culture and religion",42252.0,,,FRA
France,2008,"General economic, commercial and labour affairs",24134.0,,,FRA
France,2008,Other industries,10259.0,,,FRA
France,2008,RandD Economic affairs,23685.0,,,FRA
France,2008,Economic affairs n.e.c.,2265.0,,,FRA
France,2009,Total function,1543608.0,,,FRA
France,2009,"Agriculture, forestry, fishing and hunting",11390.0,,,FRA
France,2009,"Mining, manufacturing and construction",806.0,,,FRA
France,2009,Transport,52410.0,,,FRA
France,2009,Communication,328.0,,,FRA
France,2009,Fuel and energy,6562.0,,,FRA
France,2009,Environment protection,26790.0,,,FRA
France,2009,Housing and community amenities,39615.0,,,FRA
France,2009,Health,214872.0,,,FRA
France,2009,Education,153119.0,,,FRA
France,2009,Social protection,640246.0,,,FRA
France,2009,General public services,197391.0,,,FRA
France,2009,Defence,50974.0,,,FRA
France,2009,Public order and safety,44892.0,,,FRA
France,2009,"Recreation, culture and religion",41703.0,,,FRA
France,2009,"General economic, commercial and labour affairs",26693.0,,,FRA
France,2009,Other industries,10457.0,,,FRA
France,2009,RandD Economic affairs,23230.0,,,FRA
France,2009,Economic affairs n.e.c.,2130.0,,,FRA
France,2010,Total function,1504631.0,,,FRA
France,2010,"Agriculture, forestry, fishing and hunting",11193.0,,,FRA
France,2010,"Mining, manufacturing and construction",833.0,,,FRA
France,2010,Transport,51580.0,,,FRA
France,2010,Communication,1399.0,,,FRA
France,2010,Fuel and energy,6544.0,,,FRA
France,2010,Environment protection,26293.0,,,FRA
France,2010,Housing and community amenities,37115.0,,,FRA
France,2010,Health,211050.0,,,FRA
France,2010,Education,149262.0,,,FRA
France,2010,Social protection,626230.0,,,FRA
France,2010,General public services,183340.0,,,FRA
France,2010,Defence,49350.0,,,FRA
France,2010,Public order and safety,44515.0,,,FRA
France,2010,"Recreation, culture and religion",41213.0,,,FRA
France,2010,"General economic, commercial and labour affairs",29506.0,,,FRA
France,2010,Other industries,9995.0,,,FRA
France,2010,RandD Economic affairs,23001.0,,,FRA
France,2010,Economic affairs n.e.c.,2215.0,,,FRA
France,2011,Total function,1612818.0,,,FRA
France,2011,"Agriculture, forestry, fishing and hunting",11055.0,,,FRA
France,2011,"Mining, manufacturing and construction",633.0,,,FRA
France,2011,Transport,55678.0,,,FRA
France,2011,Communication,1797.0,,,FRA
France,2011,Fuel and energy,8981.0,,,FRA
France,2011,Environment protection,28404.0,,,FRA
France,2011,Housing and community amenities,40080.0,,,FRA
France,2011,Health,227274.0,,,FRA
France,2011,Education,157014.0,,,FRA
France,2011,Social protection,679040.0,,,FRA
France,2011,General public services,198621.0,,,FRA
France,2011,Defence,51122.0,,,FRA
France,2011,Public order and safety,46905.0,,,FRA
France,2011,"Recreation, culture and religion",44214.0,,,FRA
France,2011,"General economic, commercial and labour affairs",25728.0,,,FRA
France,2011,Other industries,9137.0,,,FRA
France,2011,RandD Economic affairs,24782.0,,,FRA
France,2011,Economic affairs n.e.c.,2350.0,,,FRA
France,2012,Total function,1532572.0,,,FRA
France,2012,"Agriculture, forestry, fishing and hunting",5758.0,,,FRA
France,2012,"Mining, manufacturing and construction",825.0,,,FRA
France,2012,Transport,51595.0,,,FRA
France,2012,Communication,5224.0,,,FRA
France,2012,Fuel and energy,10598.0,,,FRA
France,2012,Environment protection,26992.0,,,FRA
France,2012,Housing and community amenities,35519.0,,,FRA
France,2012,Health,214813.0,,,FRA
France,2012,Education,147289.0,,,FRA
France,2012,Social protection,648516.0,,,FRA
France,2012,General public services,186982.0,,,FRA
France,2012,Defence,48212.0,,,FRA
France,2012,Public order and safety,43617.0,,,FRA
France,2012,"Recreation, culture and religion",42015.0,,,FRA
France,2012,"General economic, commercial and labour affairs",28183.0,,,FRA
France,2012,Other industries,8593.0,,,FRA
France,2012,RandD Economic affairs,22630.0,,,FRA
France,2012,Economic affairs n.e.c.,5206.0,,,FRA
France,2013,Total function,1609177.0,,,FRA
France,2013,"Agriculture, forestry, fishing and hunting",5528.0,,,FRA
France,2013,"Mining, manufacturing and construction",644.0,,,FRA
France,2013,Transport,57992.0,,,FRA
France,2013,Communication,1728.0,,,FRA
France,2013,Fuel and energy,12232.0,,,FRA
France,2013,Environment protection,28755.0,,,FRA
France,2013,Housing and community amenities,35768.0,,,FRA
France,2013,Health,226633.0,,,FRA
France,2013,Education,154453.0,,,FRA
France,2013,Social protection,687676.0,,,FRA
France,2013,General public services,193120.0,,,FRA
France,2013,Defence,49835.0,,,FRA
France,2013,Public order and safety,45881.0,,,FRA
France,2013,"Recreation, culture and religion",44922.0,,,FRA
France,2013,"General economic, commercial and labour affairs",28984.0,,,FRA
France,2013,Other industries,8886.0,,,FRA
France,2013,RandD Economic affairs,23674.0,,,FRA
France,2013,Economic affairs n.e.c.,2466.0,,,FRA
France,2014,Total function,1634001.0,,,FRA
France,2014,"Agriculture, forestry, fishing and hunting",6124.0,,,FRA
France,2014,"Mining, manufacturing and construction",522.0,,,FRA
France,2014,Transport,56374.0,,,FRA
France,2014,Communication,234.0,,,FRA
France,2014,Fuel and energy,11808.0,,,FRA
France,2014,Environment protection,29220.0,,,FRA
France,2014,Housing and community amenities,34302.0,,,FRA
France,2014,Health,233876.0,,,FRA
France,2014,Education,156770.0,,,FRA
France,2014,Social protection,699838.0,,,FRA
France,2014,General public services,187846.0,,,FRA
France,2014,Defence,48080.0,,,FRA
France,2014,Public order and safety,46629.0,,,FRA
France,2014,"Recreation, culture and religion",44017.0,,,FRA
France,2014,"General economic, commercial and labour affairs",43567.0,,,FRA
France,2014,Other industries,9059.0,,,FRA
France,2014,RandD Economic affairs,23278.0,,,FRA
France,2014,Economic affairs n.e.c.,2456.0,,,FRA
France,2015,Total function,1385400.0,,,FRA
France,2015,"Agriculture, forestry, fishing and hunting",6238.0,,,FRA
France,2015,"Mining, manufacturing and construction",292.0,,,FRA
France,2015,Transport,46859.0,,,FRA
France,2015,Communication,291.0,,,FRA
France,2015,Fuel and energy,10313.0,,,FRA
France,2015,Environment protection,24501.0,,,FRA
France,2015,Housing and community amenities,27351.0,,,FRA
France,2015,Health,197056.0,,,FRA
France,2015,Education,132849.0,,,FRA
France,2015,Social protection,593798.0,,,FRA
France,2015,General public services,153199.0,,,FRA
France,2015,Defence,42715.0,,,FRA
France,2015,Public order and safety,39575.0,,,FRA
France,2015,"Recreation, culture and religion",35007.0,,,FRA
France,2015,"General economic, commercial and labour affairs",46211.0,,,FRA
France,2015,Other industries,7029.0,,,FRA
France,2015,RandD Economic affairs,19928.0,,,FRA
France,2015,Economic affairs n.e.c.,2191.0,,,FRA
France,2016,Total function,1401821.0,,,FRA
France,2016,"Agriculture, forestry, fishing and hunting",5455.0,,,FRA
France,2016,"Mining, manufacturing and construction",612.0,,,FRA
France,2016,Transport,48644.0,,,FRA
France,2016,Communication,344.0,,,FRA
France,2016,Fuel and energy,10755.0,,,FRA
France,2016,Environment protection,23370.0,,,FRA
France,2016,Housing and community amenities,26834.0,,,FRA
France,2016,Health,200933.0,,,FRA
France,2016,Education,133739.0,,,FRA
France,2016,Social protection,604433.0,,,FRA
France,2016,General public services,152048.0,,,FRA
France,2016,Defence,47295.0,,,FRA
France,2016,Public order and safety,40290.0,,,FRA
France,2016,"Recreation, culture and religion",34823.0,,,FRA
France,2016,"General economic, commercial and labour affairs",42711.0,,,FRA
France,2016,Other industries,7573.0,,,FRA
France,2016,RandD Economic affairs,19898.0,,,FRA
France,2016,Economic affairs n.e.c.,2062.0,,,FRA
France,2017,Total function,1466352.0,,,FRA
France,2017,"Agriculture, forestry, fishing and hunting",6124.0,,,FRA
France,2017,"Mining, manufacturing and construction",946.0,,,FRA
France,2017,Transport,51371.0,,,FRA
France,2017,Communication,453.0,,,FRA
France,2017,Fuel and energy,11409.0,,,FRA
France,2017,Environment protection,24262.0,,,FRA
France,2017,Housing and community amenities,26579.0,,,FRA
France,2017,Health,210509.0,,,FRA
France,2017,Education,139974.0,,,FRA
France,2017,Social protection,627354.0,,,FRA
France,2017,General public services,159922.0,,,FRA
France,2017,Defence,46051.0,,,FRA
France,2017,Public order and safety,42396.0,,,FRA
France,2017,"Recreation, culture and religion",36647.0,,,FRA
France,2017,"General economic, commercial and labour affairs",44950.0,,,FRA
France,2017,Other industries,8173.0,,,FRA
France,2017,RandD Economic affairs,21095.0,,,FRA
France,2017,Economic affairs n.e.c.,8135.0,,,FRA
France,2018,Total function,1553015.0,,,FRA
France,2018,"Agriculture, forestry, fishing and hunting",6423.0,,,FRA
France,2018,"Mining, manufacturing and construction",811.0,,,FRA
France,2018,Transport,55468.0,,,FRA
France,2018,Communication,557.0,,,FRA
France,2018,Fuel and energy,11895.0,,,FRA
France,2018,Environment protection,26889.0,,,FRA
France,2018,Housing and community amenities,28864.0,,,FRA
France,2018,Health,224025.0,,,FRA
France,2018,Education,148537.0,,,FRA
France,2018,Social protection,667133.0,,,FRA
France,2018,General public services,162856.0,,,FRA
France,2018,Defence,49097.0,,,FRA
France,2018,Public order and safety,45301.0,,,FRA
France,2018,"Recreation, culture and religion",39125.0,,,FRA
France,2018,"General economic, commercial and labour affairs",49926.0,,,FRA
France,2018,Other industries,11827.0,,,FRA
France,2018,RandD Economic affairs,22083.0,,,FRA
France,2018,Economic affairs n.e.c.,2198.0,,,FRA
France,2019,Total function,1510485.0,,,FRA
France,2019,"Agriculture, forestry, fishing and hunting",5817.0,,,FRA
France,2019,"Mining, manufacturing and construction",427.0,,,FRA
France,2019,Transport,54908.0,,,FRA
France,2019,Communication,610.0,,,FRA
France,2019,Fuel and energy,12445.0,,,FRA
France,2019,Environment protection,27165.0,,,FRA
France,2019,Housing and community amenities,28859.0,,,FRA
France,2019,Health,217197.0,,,FRA
France,2019,Education,143210.0,,,FRA
France,2019,Social protection,650040.0,,,FRA
France,2019,General public services,151934.0,,,FRA
France,2019,Defence,47481.0,,,FRA
France,2019,Public order and safety,44678.0,,,FRA
France,2019,"Recreation, culture and religion",39024.0,,,FRA
France,2019,"General economic, commercial and labour affairs",51440.0,,,FRA
France,2019,Other industries,12029.0,,,FRA
France,2019,RandD Economic affairs,21165.0,,,FRA
France,2019,Economic affairs n.e.c.,2059.0,,,FRA
France,2020,Total function,1622890.0,,,FRA
France,2020,"Agriculture, forestry, fishing and hunting",5865.0,,,FRA
France,2020,"Mining, manufacturing and construction",716.0,,,FRA
France,2020,Transport,57326.0,,,FRA
France,2020,Communication,717.0,,,FRA
France,2020,Fuel and energy,14300.0,,,FRA
France,2020,Environment protection,27382.0,,,FRA
France,2020,Housing and community amenities,31489.0,,,FRA
France,2020,Health,235198.0,,,FRA
France,2020,Education,143178.0,,,FRA
France,2020,Social protection,716872.0,,,FRA
France,2020,General public services,151908.0,,,FRA
France,2020,Defence,50575.0,,,FRA
France,2020,Public order and safety,46741.0,,,FRA
France,2020,"Recreation, culture and religion",37530.0,,,FRA
France,2020,"General economic, commercial and labour affairs",64879.0,,,FRA
France,2020,Other industries,12995.0,,,FRA
France,2020,RandD Economic affairs,22872.0,,,FRA
France,2020,Economic affairs n.e.c.,2349.0,,,FRA
France,2021,Total function,1746522.0,,,FRA
France,2021,"Agriculture, forestry, fishing and hunting",5787.0,,,FRA
France,2021,"Mining, manufacturing and construction",705.0,,,FRA
France,2021,Transport,62276.0,,,FRA
France,2021,Communication,1251.0,,,FRA
France,2021,Fuel and energy,13382.0,,,FRA
France,2021,Environment protection,30767.0,,,FRA
France,2021,Housing and community amenities,37148.0,,,FRA
France,2021,Health,272600.0,,,FRA
France,2021,Education,155015.0,,,FRA
France,2021,Social protection,732101.0,,,FRA
France,2021,General public services,171495.0,,,FRA
France,2021,Defence,51875.0,,,FRA
France,2021,Public order and safety,50546.0,,,FRA
France,2021,"Recreation, culture and religion",41658.0,,,FRA
France,2021,"General economic, commercial and labour affairs",77730.0,,,FRA
France,2021,Other industries,12920.0,,,FRA
France,2021,RandD Economic affairs,24911.0,,,FRA
France,2021,Economic affairs n.e.c.,4357.0,,,FRA
Georgia,2000,Total function,489.0,,,
Georgia,2000,"Agriculture, forestry, fishing and hunting",7.0,,,
Georgia,2000,"Mining, manufacturing and construction",0.0,,,
Georgia,2000,Transport,25.0,,,
Georgia,2000,Communication,0.0,,,
Georgia,2000,Fuel and energy,13.0,,,
Georgia,2000,Environment protection,0.0,,,
Georgia,2000,Housing and community amenities,25.0,,,
Georgia,2000,Health,19.0,,,
Georgia,2000,Education,66.0,,,
Georgia,2000,Social protection,105.0,,,
